,,,,
ID станице,Назив станице,Алтитуда,Географска дужина,Географска ширина
ekoDoboj,Добој,143,18.089054,44.726311
ekoTjentiste,Фоча (Тјентиште),575,18.68872,43.352247
ekoBijeljina,Бијељина,90,19.192706,44.753655
ekoSokolac,Соколац,898,18.779723,43.9223319
ekoTrebinje,Требиње,301,18.344264,42.714073
ekoGacko,Гацко,955,18.535791,43.16458
ekoBrod,Брод,83,17.984798,45.135565
ekoUgljevik,Угљевик,159,18.969576,44.684038
ekoMrakovica,Приједор (Мраковица),777,16.912658,45.012832
ekoPrijedor,Приједор,133,16.712734,44.971993
ekoBLRM,Бања Лука,153,17.205966,44.793733
ekoBanjaLuka,Бања Лука,248,17.174943,44.7488
